 1298,9,1 ,1 ,550 
 3495,5,1 ,1 ,500 
 3600,19,1 ,1 ,675 
 2495,5,0,1 ,
 5995,15,2 ,2.5 ,1782 
 4195,3,1 ,1 ,700 
 8000,3,2 ,2 ,1378 
 2950,31,1 ,1 ,432 
 2400,3,0,1 ,600 
 3500,21,0,1 ,650 
 2895,3,1 ,1 ,
 2450,5,1 ,1 ,450 
 3700,3,1 ,1 ,700 
 2400,7,2 ,1 ,
 1550,5,0,1 ,
 2750,9,1 ,1 ,
 6600,23,1 ,1 ,670 
 5395,25,1 ,1 ,900 
 2200,25,1 ,1 ,728 
 4200,7,2 ,1 ,825 
 3750,7,1 ,1 ,1000 
 4200,5,2 ,1 ,936 
 4725,9,2 ,2 ,
 4150,13,1 ,1 ,
 4000,1,2 ,1 ,1100 
 5200,3,2 ,2 ,
 3405,5,1 ,1 ,498 
 4795,13,3 ,2 ,1283 
 7700,9,3 ,2 ,1350 
 2450,37,0,1 ,
,7,1 ,1 ,690 
 2250,19,0,1 ,
 4950,27,2 ,2 ,810 
 5900,7,2 ,2 ,1145 
 4395,5,3 ,2 ,1000 
 3800,3,1 ,1 ,1000 
 2650,5,1 ,1 ,1067 
 2700,13,3 ,1.5 ,900 
 7000,3,2 ,2 ,1150 
 9995,5,5 ,4 ,2600 
 3200,15,1 ,1 ,450 
 4400,7,2 ,1 ,1000 
 3500,3,0,1 ,
 5280,23,1 ,1 ,
 1450,3,1 ,1 ,900 
 2495,5,0,1 ,
 3700,3,2 ,2 ,1286 
 2500,9,2 ,2 ,1040 
 5575,19,2 ,2.5 ,1455 
 3800,7,3 ,2 ,3274 
 1350,3,1 ,1 ,929 
 1850,7,1 ,1 ,
 2895,1,2 ,1 ,675 
 3500,11,1 ,1 ,
 5450,1,1 ,1.5 ,1435 
 7500,17,3 ,1.5 ,1450 
 1668,9,2 ,1 ,13608 
 2900,17,1 ,1 ,
 4995,25,3 ,2 ,
 7500,3,2 ,2 ,1700 
 1800,7,1 ,1 ,533 
 3745,33,1 ,1 ,850 
 8500,21,3 ,2.5 ,1600 
 1995,11,0,1 ,
 2995,37,2 ,1 ,1100 
 5000,3,2 ,1 ,1200 
 5100,5,2 ,1 ,878 
 6495,5,2 ,2 ,
 3650,19,1 ,1 ,
 6500,11,2 ,2 ,1636 
 2395,13,3 ,2 ,
 8000,5,2 ,2 ,1558 
 4095,5,1 ,1 ,600 
 4500,15,2 ,1 ,
 2725,3,1 ,1 ,550 
 1750,5,1 ,1 ,750 
 4500,25,3 ,2 ,1800 
 3600,11,2 ,1 ,1600 
 2500,13,0,1 ,552 
 3750,1,1 ,,700 
 1000,21,1 ,1 ,495 
 2495,3,2 ,1 ,700 
 5195,7,3 ,2 ,1118 
 6700,9,3 ,1 ,1100 
 4000,3,1 ,1 ,706 
 1700,5,2 ,1 ,
 3800,17,1 ,1 ,816 
 3250,9,1 ,1 ,
 3455,1,1 ,1 ,
 5500,3,2 ,2 ,
 9000,11,4 ,3.5 ,2159 
 4000,3,1 ,1 ,751 
 2850,5,1 ,1 ,
 2600,3,0,1 ,307 
 2700,7,0,1 ,270 
 3600,7,1 ,1 ,
 1800,13,3 ,2 ,1284 
 3650,7,1 ,1 ,
 9500,11,2 ,2 ,1486 
 4800,5,1 ,1 ,
 4445,31,1 ,1 ,
 4450,13,2 ,1 ,700 
 1095,1,0,1 ,153 
 2100,25,0,1 ,550 
 2700,1,1 ,1 ,800 
 4650,29,2 ,2 ,1000 
 5250,27,2 ,2 ,1074 
 2950,7,1 ,1 ,1330 
 3850,5,2 ,1 ,
 3750,5,1 ,1 ,874 
 4500,7,1 ,1 ,835 
 3750,3,1 ,1 ,664 
 6475,7,3 ,2 ,1342 
 3590,23,2 ,1 ,950 
 2100,19,2 ,2 ,913 
 4500,9,2 ,2.5 ,1200 
 4950,1,2 ,2 ,822 
 24000,1,5 ,4 ,3578 
 5995,7,2 ,1 ,700 
 8900,33,3 ,2 ,
 4250,5,1 ,1 ,
 4995,7,2 ,1 ,1250 
 6885,9,2 ,2 ,1465 
 2595,9,0,1 ,
 7295,25,2 ,2 ,1800 
 4100,7,2 ,1.5 ,
 2495,3,0,1 ,233 
 9500,3,2 ,2.5 ,2100 
 4350,5,2 ,1 ,903 
 3295,3,2 ,1 ,1024 
 1695,3,0,1 ,
 5300,27,2 ,2 ,1049 
 2500,9,3 ,1 ,
 5400,3,2 ,2 ,1161 
 8000,3,3 ,2 ,3500 
 2200,3,1 ,1 ,465 
 12950,5,3 ,3 ,1500 
 7880,9,3 ,2 ,1300 
 3400,15,0,1 ,500 
 3300,7,1 ,1 ,
 2995,11,1 ,1 ,
 2500,3,0,1 ,
 4500,25,2 ,2 ,1500 
 5500,3,2 ,1 ,1400 
 2795,27,1 ,1 ,
 5500,1,2 ,2 ,1000 
 1950,3,0,1 ,560 
 4700,5,1 ,1 ,642 
 1800,1,2 ,1 ,
 2895,19,1 ,1 ,750 
 8800,21,3 ,2 ,1800 
 5995,28,2 ,2 ,999 
 16000,3,3 ,3 ,2285 
 3895,3,1 ,1 ,650 
 5900,3,2 ,2 ,
 2150,15,1 ,1 ,624 
 4950,7,1 ,1 ,
 4600,15,2 ,1 ,900 
 4500,3,2 ,2 ,
 1800,7,1 ,1 ,548 
 2900,3,1 ,1 ,800 
 4895,3,2 ,1 ,1000 
 2995,3,2 ,2 ,
 4050,25,2 ,1.5 ,1300 
 1795,17,0,1 ,
 3850,19,1 ,1 ,
 3600,3,1 ,1 ,700 
 4150,33,2 ,1 ,1000 
 2995,7,1 ,1 ,
 2500,7,2 ,1 ,735 
 2995,15,2 ,2 ,1170 
 4445,13,1 ,1 ,
 2500,1,0,1 ,450 
 5100,3,2 ,1 ,1200 
 4200,9,1 ,1 ,700 
 1895,3,0,1 ,427 
 10500,13,3 ,2.5 ,2800 
 3850,17,2 ,1 ,950 
 2600,11,1 ,1 ,500 
 2695,5,1 ,1 ,
 2895,35,0,1 ,
 11950,5,3 ,2 ,2240 
,3,2 ,1 ,
 1650,17,0,1 ,425 
 6000,7,2 ,2 ,1160 
 3695,11,1 ,1 ,
 3950,27,1 ,1 ,1000 
 3690,11,2 ,2 ,1100 
 1375,9,1 ,1 ,4160 
 7950,9,3 ,3 ,2140 
